Gender,Age,Body Type,Sport,Balance,Stability,Fine Motor Movement,Strength,Bone Density,Reaction Time,Height,Weight,Lung Capacity,Speed
Male,26,Endomorph,Cricket,0.5046553863571273,0.6461720099935999,1.0,0.5812482644025269,0.7653545382987286,0.48850619569269127,0.5377203662591195,0.5083443789010892,0.49519213743820345,0.35016074448072804
Female,28,Mesomorph,Cricket,0.48864033314924493,0.7349956373288453,0.8986596104724859,0.8985212654958905,0.6153736539148293,0.483478425380087,0.727741502276881,0.717594164450786,0.4577626572193849,1.0
Female,38,Mesomorph,Tennis,0.7830959499588769,0.7016700320990971,0.8627061587335281,0.7315028097093438,0.6168866425519715,0.8017065405241588,0.6962297865149798,0.5359249792369203,0.6066028945850463,0.9457037574741485
Male,24,Endomorph,Gymnastics,0.8865596713390453,0.6934626827327492,0.5215700871391624,0.9245718484492936,0.5449270666444753,0.838652465523505,0.7500350004306662,0.47521894108828117,0.8937936323673916,0.565088060357266
Female,28,Ectomorph,Football,0.7429425365063957,0.5922956333273839,0.5117302468159495,1.0,0.6489183303553225,0.8089052483121312,0.7470065219520038,0.7781344569474336,0.8358312060200265,0.8995640078703314
Male,24,Endomorph,Gymnastics,0.8190470996854273,0.9119166687375245,1.0,0.698568679977041,0.7506951612019226,0.8359947274025591,0.4735603146558571,0.2904719970485022,0.755473365012806,0.7107308232259165
Male,39,Endomorph,Football,0.3119609625951321,0.7999920405832169,0.727765880649992,0.8596409635028728,0.6987884031081867,1.0,0.5942082467331626,0.48525144513496177,0.9625055734305774,0.9082562770372118
Male,31,Ectomorph,Badminton,0.7601648190540041,0.7989339807530345,0.8925973739108791,0.3777816834002023,0.48933165130174916,1.0,0.6817736326596233,0.4931240890852718,0.7872103927515093,0.8567551870887619
Male,24,Mesomorph,Gymnastics,0.8871240035643623,1.0,0.7732737800288485,0.6801833971893388,0.5547773259387101,0.7498500768335861,0.4768037889432381,0.4353341028061095,0.6785011631447281,0.649708338137642
Female,15,Endomorph,Badminton,0.8630542310645114,0.6458507938621242,0.8842201371484214,0.5928412493288241,0.47327851210145755,0.8488538974028255,0.48226924629465123,0.39379378180670305,0.8506643037587207,0.9146682309410468
Male,19,Mesomorph,Badminton,0.8727523503923565,0.7355129148849116,0.9118092782186346,0.4598463915457029,0.5090698034440969,0.7210088804515852,0.5185244961117619,0.31770588016963897,0.9120247292167494,0.6399583700520279
Female,17,Mesomorph,Football,0.361990316110439,0.5744723678206289,0.22897967085101084,0.978342341397684,0.6358539414001623,0.9401655341352796,0.59444854718178,0.6650214754056651,0.6210565236546228,0.902367620152726
Female,31,Ectomorph,Football,0.46860688373443293,0.5175344337831227,0.4920099994980397,0.9549253636087365,0.6653869781612941,0.97122471995471,0.5958863923106307,1.0,0.77573965210447,0.9057628596045952
Female,29,Ectomorph,Cricket,0.4752454804398415,0.8990506644539704,0.9494949129888618,0.711962689633726,0.7603900434851977,1.0,0.74890963798326,0.18140582352523443,0.5456425345595557,0.494318943022158
Male,23,Ectomorph,Football,0.7699707302315679,0.7919629406517269,0.6086916743126264,0.8857049446121719,0.6839617838603893,0.7182761775408766,0.6047114217417622,0.7370151339272702,0.9446441467493292,0.7743776551449657
Female,39,Endomorph,Football,0.6415047331495007,0.7438508438059381,0.611418110468538,0.591186529847023,0.7561746791862534,0.9070172341213357,0.9125205335684524,0.7744031925112748,0.8584090044890674,0.8363804839387575
Male,21,Endomorph,Cricket,0.29844229187186583,0.4513499079590674,0.8174031807888026,0.6810949780487454,0.7855272414244303,0.6952540052852229,0.6370649112201733,0.5682249028365994,0.6995798714852479,0.8627318736048657
Male,35,Endomorph,Gymnastics,0.681430010986353,0.9127812366309411,0.6508743907933479,0.7443283097923376,0.5094705733412799,0.9173970268482453,0.4838147037059584,0.25399412928239495,0.6268027965768584,0.5856746324074874
